Data;BV;BM;Juros
jan/20;113761;317959;0.0450
fev/20;104172;303197;0.0425
mar/20;73020;307560;0.0375
abr/20;80506;336684;0.0375
mai/20;87410;368063;0.0300
jun/20;95056;381680;0.0225
jul/20;102912;423675;0.0225
ago/20;99369;402707;0.0225
set/20;94603;408737;0.0225
out/20;93952;427820;0.0200
nov/20;108893;417680;0.0200
dez/20;119017;431537;0.0200
jan/21;115068;433590;0.0200
fev/21;110035;411411;0.0200
mar/21;116634;405630;0.0275
abr/21;118894;420148;0.0275
mai/21;126216;403528;0.0350
jun/21;126802;422212;0.0425
jul/21;121801;427958;0.0425
ago/21;118781;406329;0.0525
set/21;110979;403676;0.0625
out/21;103501;396209;0.0775
nov/21;101915;413272;0.0775
dez/21;104822;409184;0.0925
jan/22;111910;417976;0.0925
fev/22;113141;402172;0.1075
mar/22;119081;385897;0.1075
abr/22;107876;396510;0.1075
mai/22;111941;398191;0.1175
jun/22;98672;407169;0.1325
jul/22;103164;389598;0.1325
ago/22;112298;395355;0.1375
set/22;110036;393441;0.1375
out/22;114539;398583;0.1375
nov/22;108976;391533;0.1375
dez/22;109734;419660;0.1375
